Price;Close;High;Low;Open;Volume
Ticker;TSLA;TSLA;TSLA;TSLA;TSLA
Date;;;;;
2010-06-28 00.00.00;1,279999971;2,028000116;1,24733305;1,719333053;458185500
2010-07-05 00.00.00;1,159999967;1,333333015;0,998667002;1,333333015;383259000
2010-07-12 00.00.00;1,376000047;1,433333039;1,126667023;1,196666956;231583500
2010-07-19 00.00.00;1,419332981;1,483332992;1,299999952;1,424667001;107635500
2010-07-26 00.00.00;1,329332948;1,433333039;1,303333044;1,433333039;45780000
2010-08-02 00.00.00;1,305999994;1,478667021;1,301332951;1,366667032;65995500
2010-08-09 00.00.00;1,221333027;1,332000017;1,159332991;1,326666951;63249000
2010-08-16 00.00.00;1,273332953;1,305999994;1,217332959;1,230000019;36151500
2010-08-23 00.00.00;1,313333035;1,359333038;1,237333059;1,27266705;46168500
2010-08-30 00.00.00;1,403332949;1,419999957;1,288666964;1,313333035;35257500
2010-09-06 00.00.00;1,344666958;1,403332949;1,317332983;1,373999953;19419000
2010-09-13 00.00.00;1,348667026;1,54400003;1,320000052;1,392667055;83746500
2010-09-20 00.00.00;1,340000033;1,436666965;1,299999952;1,378000021;59301000
2010-09-27 00.00.00;1,373332977;1,476667047;1,336666942;1,360000014;95938500
2010-10-04 00.00.00;1,361999989;1,418666959;1,353332996;1,361999989;25467000
2010-10-11 00.00.00;1,369333029;1,40199995;1,33533299;1,362666965;19693500
2010-10-18 00.00.00;1,381332994;1,396667004;1,333333015;1,368000031;19480500
2010-10-25 00.00.00;1,45599997;1,457999945;1,367333055;1,396000028;24610500
2010-11-01 00.00.00;1,629333019;1,688667059;1,403332949;1,462666988;60538500
2010-11-08 00.00.00;1,989333034;2,033333063;1,601999998;1,633332968;138012000
2010-11-15 00.00.00;2,065999985;2,196000099;1,894667029;2,014667034;102406500
2010-11-22 00.00.00;2,354666948;2,400000095;2,099999905;2,104666948;73246500
2010-11-29 00.00.00;2,099333048;2,427999973;2,058000088;2,36066699;117517500
2010-12-06 00.00.00;2,101332903;2,194667101;1,970667005;2,089999914;61216500
2010-12-13 00.00.00;2,090667009;2,118000031;1,850667;2,109333038;67831500
2010-12-20 00.00.00;2,006000042;2,190666914;1,994667053;2,109333038;55305000
2010-12-27 00.00.00;1,775333047;1,905333042;1,666666985;1,868000031;302046000
2011-01-03 00.00.00;1,882666945;1,905333042;1,726667047;1,789332986;123393000
2011-01-10 00.00.00;1,716667056;1,914000034;1,707332969;1,878000021;88993500
2011-01-17 00.00.00;1,536000013;1,709332943;1,491333008;1,698667049;112351500
2011-01-24 00.00.00;1,600667;1,672000051;1,548666954;1,568667054;89109000
2011-01-31 00.00.00;1,56400001;1,648666978;1,543333054;1,603332996;47454000
2011-02-07 00.00.00;1,549999952;1,683333039;1,519333005;1,550667048;127593000
2011-02-14 00.00.00;1,545333028;1,699332952;1,503999949;1,575999975;170115000
2011-02-21 00.00.00;1,574000001;1,590000033;1,407333016;1,525333047;91077000
2011-02-28 00.00.00;1,663333058;1,666000009;1,566666961;1,582666993;75618000
2011-03-07 00.00.00;1,604666948;1,69333303;1,568667054;1,661999941;94591500
2011-03-14 00.00.00;1,530666947;1,600000024;1,45333302;1,588000059;78975000
2011-03-21 00.00.00;1,516667008;1,536666989;1,451333046;1,536666989;36714000
2011-03-28 00.00.00;1,777333021;1,914000034;1,503332973;1,513332963;261291000
2011-04-04 00.00.00;1,766000032;1,862666965;1,682000041;1,788666964;177528000
2011-04-11 00.00.00;1,705332994;1,768666983;1,613332987;1,764667034;87978000
2011-04-18 00.00.00;1,782667041;1,798666954;1,623999953;1,675333023;57088500
2011-04-25 00.00.00;1,840000033;1,85800004;1,731333017;1,779999971;82857000
2011-05-02 00.00.00;1,807999969;1,853332996;1,716667056;1,840000033;74148000
2011-05-09 00.00.00;1,836666942;1,929999948;1,776666999;1,799999952;70555500
2011-05-16 00.00.00;1,864667058;1,896000028;1,701333046;1,866000056;93255000
2011-05-23 00.00.00;1,970000029;1,983999968;1,744667053;1,841333032;167916000
2011-05-30 00.00.00;2,008666992;2,099999905;1,89199996;1,979333043;180238500
2011-06-06 00.00.00;1,857332945;2,008666992;1,801332951;2,006666899;126283500
2011-06-13 00.00.00;1,766667008;1,980000019;1,715999961;1,871333003;122820000
2011-06-20 00.00.00;1,838000059;1,883332968;1,700000048;1,75266695;139318500
2011-06-27 00.00.00;1,934666991;1,973333001;1,820667028;1,848667026;89430000
2011-07-04 00.00.00;1,920667052;2;1,903332949;1,934666991;67371000
2011-07-11 00.00.00;1,838667035;1,939332962;1,816666961;1,893332958;74328000
2011-07-18 00.00.00;1,952666998;2,029333115;1,775333047;1,822667003;97819500
2011-07-25 00.00.00;1,878000021;1,950000048;1,833333015;1,934000015;64189500
2011-08-01 00.00.00;1,616000056;1,946666956;1,521999955;1,911332965;143065500
2011-08-08 00.00.00;1,753999949;1,809332967;1,539999962;1,539999962;110275500
2011-08-15 00.00.00;1,486667037;1,783332944;1,466667056;1,774667025;65278500
2011-08-22 00.00.00;1,582000017;1,596667051;1,433333039;1,540667057;59715000
2011-08-29 00.00.00;1,537999988;1,700000048;1,511999965;1,614667058;54171000
2011-09-05 00.00.00;1,53133297;1,601999998;1,485999942;1,5;36660000
2011-09-12 00.00.00;1,720000029;1,722666979;1,496667027;1,5;61554000
2011-09-19 00.00.00;1,758666992;1,79666698;1,588000059;1,663333058;78864000
2011-09-26 00.00.00;1,626000047;1,799332976;1,565999985;1,768000007;68974500
2011-10-03 00.00.00;1,799332976;1,840000033;1,528666973;1,663333058;98005500
2011-10-10 00.00.00;1,870000005;1,903332949;1,799999952;1,820667028;75999000
2011-10-17 00.00.00;1,868667006;1,895333052;1,780666947;1,857332945;70341000
2011-10-24 00.00.00;1,991333008;2;1,826666951;1,85800004;63583500
2011-10-31 00.00.00;2,154000044;2,165999889;1,866667032;1,966667056;122806500
2011-11-07 00.00.00;2,24266696;2,299999952;2,019999981;2,109333038;120052500
2011-11-14 00.00.00;2,17333293;2,333333015;2,169332981;2,200000048;94530000
2011-11-21 00.00.00;2,11066699;2,186000109;2,069999933;2,162667036;36834000
2011-11-28 00.00.00;2,220000029;2,266000032;2,108666897;2,133332968;57984000
2011-12-05 00.00.00;2,069333076;2,333333015;1,973999977;2,235332966;109972500
2011-12-12 00.00.00;1,866667032;2,062000036;1,865332961;2,029333115;69700500
2011-12-19 00.00.00;1,860000014;1,899999976;1,735332966;1,872666955;77049000
2011-12-26 00.00.00;1,904000044;1,95599997;1,842666984;1,843999982;32710500
2012-01-02 00.00.00;1,79400003;1,966667056;1,760666966;1,929332972;53250000
2012-01-09 00.00.00;1,519333005;1,907999992;1,509333014;1,799999952;127062000
2012-01-16 00.00.00;1,773332953;1,849333048;1,75;1,774667025;117306000
2012-01-23 00.00.00;1,955332994;1,981333017;1,762666941;1,787333012;61249500
2012-01-30 00.00.00;2,07666707;2,088666916;1,90199995;1,965999961;56682000
2012-02-06 00.00.00;2,073333025;2,193332911;1,989333034;2,073333025;81730500
2012-02-13 00.00.00;2,331332922;2,331332922;2,059999943;2,103332996;139903500
2012-02-20 00.00.00;2,25;2,331332922;2,166666985;2,324666977;68560500
2012-02-27 00.00.00;2,269332886;2,299999952;2,200000048;2,227333069;45111000
2012-03-05 00.00.00;2,315999985;2,354000092;2,174666882;2,289999962;53886000
2012-03-12 00.00.00;2,354666948;2,439332962;2,306667089;2,312666893;76759500
2012-03-19 00.00.00;2,272000074;2,354666948;2,210000038;2,350667;58242000
2012-03-26 00.00.00;2,482666969;2,663332939;2,335999966;2,372667074;124762500
2012-04-02 00.00.00;2,298666954;2,564666986;2,29399991;2,488667011;121768500
2012-04-09 00.00.00;2,239332914;2,298666954;2,134000063;2,273333073;94386000
2012-04-16 00.00.00;2,210666895;2,248667002;2,101999998;2,227333069;69523500
2012-04-23 00.00.00;2,222666979;2,242000103;2,06666708;2,190666914;49407000
2012-04-30 00.00.00;2,121999979;2,292666912;2,093333006;2,217999935;54885000
2012-05-07 00.00.00;2,150000095;2,312000036;1,957999945;2,130666971;194710500
2012-05-14 00.00.00;1,837332964;2,14199996;1,788666964;2,128000021;104838000
2012-05-21 00.00.00;1,987333059;2,089333057;1,807999969;1,838667035;103416000
2012-05-28 00.00.00;1,876667023;2,128667116;1,850667;2,000667095;74425500
2012-06-04 00.00.00;2,005332947;2,012666941;1,807332993;1,868667006;59173500
2012-06-11 00.00.00;1,993999958;2,06666708;1,907999992;2,020667076;53521500
2012-06-18 00.00.00;2,25266695;2,299999952;1,966667056;1,996000051;157932000
2012-06-25 00.00.00;2,085999966;2,274667025;2,04133296;2,262666941;107992500
2012-07-02 00.00.00;2,065999985;2,119999886;2,012666941;2,089999914;64513500
2012-07-09 00.00.00;2,283333063;2,293333054;2,044667006;2,062666893;71070000
2012-07-16 00.00.00;2,119333029;2,400000095;2,070667028;2,288000107;152994000
2012-07-23 00.00.00;1,967332959;2,086667061;1,842666984;2,069999933;144969000
2012-07-30 00.00.00;1,817999959;2,016666889;1,701333046;1,967332959;116208000
2012-08-06 00.00.00;1,996000051;2,059999943;1,836666942;1,836666942;99064500
2012-08-13 00.00.00;2,000667095;2,086667061;1,920667052;1,979333043;50491500
2012-08-20 00.00.00;1,966667056;2,056667089;1,933333039;2,00999999;84249000
2012-08-27 00.00.00;1,901332974;1,980000019;1,866667032;1,971333027;71823000
2012-09-03 00.00.00;1,956666946;1,971333027;1,853999972;1,901332974;47800500
2012-09-10 00.00.00;2,026000023;2,043333054;1,820000052;1,946666956;99970500
2012-09-17 00.00.00;2,001332998;2,185333014;1,969333053;2,156666994;132483000
2012-09-24 00.00.00;1,952000022;2,068666935;1,832000017;1,967332959;219172500
2012-10-01 00.00.00;1,925999999;2,006666899;1,909999967;1,966667056;77191500
2012-10-08 00.00.00;1,842666984;1,960000038;1,833333015;1,924000025;60367500
2012-10-15 00.00.00;1,849333048;1,932667017;1,790667057;1,868000031;65766000
2012-10-22 00.00.00;1,825332999;1,904000044;1,801332951;1,866000056;49360500
2012-10-29 00.00.00;1,927999973;1,970000029;1,824666977;1,846667051;42444000
2012-11-05 00.00.00;2,021332979;2,136667013;1,955332994;1,986667037;123366000
2012-11-12 00.00.00;2,122667074;2,141333103;2,010667086;2,019332886;64773000
2012-11-19 00.00.00;2,14199996;2,231333017;2,113332987;2,138000011;55626000
2012-11-26 00.00.00;2,254667044;2,286000013;2,101332903;2,140000105;81832500
2012-12-03 00.00.00;2,278000116;2,333333015;2,233333111;2,259332895;80029500
2012-12-10 00.00.00;2,253999949;2,386667013;2,18333292;2,295332909;116107500
2012-12-17 00.00.00;2,266666889;2,350667;2,238667011;2,251332998;91368000
2012-12-24 00.00.00;2,214667082;2,299999952;2,200000048;2,24266696;29286000
2012-12-31 00.00.00;2,293333054;2,363332987;2,200000048;2,200000048;48085500
2013-01-07 00.00.00;2,194000006;2,319999933;2,140666962;2,319999933;73645500
2013-01-14 00.00.00;2,301332951;2,323333025;2,190000057;2,205332994;133789500
2013-01-21 00.00.00;2,465332985;2,514667034;2,28399992;2,303999901;101140500
2013-01-28 00.00.00;2,553333044;2,580667019;2,457333088;2,457333088;95740500
2013-02-04 00.00.00;2,615999937;2,666666985;2,506000042;2,559999943;100017000
2013-02-11 00.00.00;2,469332933;2,609999895;2,463332891;2,532000065;142540500
2013-02-18 00.00.00;2,407332897;2,643332958;2,302666903;2,490667105;261127500
2013-02-25 00.00.00;2,309999943;2,450000048;2,253333092;2,410000086;166845000
2013-03-04 00.00.00;2,564666986;2,629333019;2,313333035;2,318000078;105976500
2013-03-11 00.00.00;2,352667093;2,632667065;2,347332954;2,591332912;134658000
2013-03-18 00.00.00;2,441333055;2,470666885;2,328000069;2,353332996;81361500
2013-03-25 00.00.00;2,526000023;2,568000078;2,451333046;2,473332882;99630000
2013-04-01 00.00.00;2,757999897;3,111999989;2,680666924;2,823999882;453175500
2013-04-08 00.00.00;2,916666985;3,009332895;2,688667059;2,798000097;181395000
2013-04-15 00.00.00;3,188667059;3,325333118;2,834000111;2,900000095;200398500
2013-04-22 00.00.00;3,413332939;3,582667112;3,18333292;3,24000001;250818000
2013-04-29 00.00.00;3,636667013;3,878667116;3,413332939;3,450666904;275013000
2013-05-06 00.00.00;5,117332935;5,400000095;3,674666882;3,759332895;1122228000
2013-05-13 00.00.00;6,099999905;6,474667072;5,207333088;5,399333;1756135500
2013-05-20 00.00.00;6,472000122;6,53000021;5,53666687;6,074666977;810915000
2013-05-27 00.00.00;6,517333031;7,659999847;6,515333176;6,769999981;1141456500
2013-06-03 00.00.00;6,802667141;6,860000134;5,883333206;6,507999897;906645000
2013-06-10 00.00.00;6,686666965;6,834667206;6,269999981;6,595333099;575124000
2013-06-17 00.00.00;6,636666775;7,142000198;6,5;6,906667233;693982500
2013-06-24 00.00.00;7,157332897;7,349999905;6,353332996;6,43333292;510969000
2013-07-01 00.00.00;8,005999565;8,126000404;7,276667118;7,290667057;518896500
2013-07-08 00.00.00;8,659999847;8,662667274;7,921332836;8,091333389;612678000
2013-07-15 00.00.00;7,978666782;8,883999825;6,966667175;8,868666649;1284175500
2013-07-22 00.00.00;8,626000404;8,711999893;7,970666885;7,992667198;589809000
2013-07-29 00.00.00;9,199999809;9,216667175;8,545332909;8,621333122;611266500
2013-08-05 00.00.00;10,19999981;10,59200001;8,824000359;9,333999634;1107628500
2013-08-12 00.00.00;9,466667175;10,03333282;9;9,961999893;789633000
2013-08-19 00.00.00;10,78933334;10,81999969;9,522000313;9,562000275;663697500
2013-08-26 00.00.00;11,26666737;11,53333282;10,6833334;11,01000023;1154137500
2013-09-02 00.00.00;11,13133335;11,57999992;11,01000023;11,56000042;582627000
2013-09-09 00.00.00;11,03600025;11,19333267;10,56733322;10,87466717;610590000
2013-09-16 00.00.00;12,22599983;12,38866711;10,89066696;11,19999981;712617000
2013-09-23 00.00.00;12,7266674;12,75199986;11,80733299;12,29866695;528454500
2013-09-30 00.00.00;12,06533337;12,96666718;11,19999981;12,60000038;1135297500
2013-10-07 00.00.00;11,91333294;12,44866657;10,76666737;12,16399956;866314500
2013-10-14 00.00.00;12,2266674;12,58600044;11,60999966;11,66666698;593839500
2013-10-21 00.00.00;11,31066704;12,22599983;10,67666721;12,21866703;819906000
2013-10-28 00.00.00;10,8113327;11,36666679;10,19999981;11,3453331;703044000
2013-11-04 00.00.00;9,196666718;12,0953331;8,821332932;11;1671327000
2013-11-11 00.00.00;9,029999733;9,694666862;8,940667152;9,399999619;956175000
2013-11-18 00.00.00;8,092000008;9,029999733;7,861999989;9,017999649;1197067500
2013-11-25 00.00.00;8,485333443;8,706000328;7,739999771;8,300000191;693549000
2013-12-02 00.00.00;9,157333374;9,662667274;8,262000084;8,423333168;956689500
2013-12-09 00.00.00;9,843333244;10,11999989;8,947333336;9,133333206;724608000
2013-12-16 00.00.00;9,549332619;10,32666683;9,273332596;9,898667336;733572000
2013-12-23 00.00.00;10,07466698;10,53333282;9,506667137;9,656666756;418750500
2013-12-30 00.00.00;9,970666885;10,32066727;9,770000458;10,07466698;294199500
2014-01-06 00.00.00;9,71466732;10,24666691;9,483332634;10;440797500
2014-01-13 00.00.00;11,33399963;11,5466671;9,111332893;9,71866703;1133314500
2014-01-20 00.00.00;11,64000034;12,15866661;11,38733292;11,41600037;484335000
2014-01-27 00.00.00;12,09399986;12,39999962;10,98066711;11,67733288;537286500
2014-02-03 00.00.00;12,43533325;12,44200039;11,29066658;12,19266701;502339500
2014-02-10 00.00.00;13,21533298;13,51466656;12,62133312;12,62266731;645624000
2014-02-17 00.00.00;13,97333336;14,34733295;12,89400005;13,68266678;769843500
2014-02-24 00.00.00;16,32066727;17,66666794;13,88799953;13,91733265;1471504500
2014-03-03 00.00.00;16,41399956;17,33333206;15,66600037;15,81733322;644160000
2014-03-10 00.00.00;15,39799976;16,5;15,22133255;16,18000031;612279000
2014-03-17 00.00.00;15,25933266;16,10333252;15,16666698;15,66333294;438915000
2014-03-24 00.00.00;14,15799999;15,32666683;13,53333282;15,3166666;679230000
2014-03-31 00.00.00;14,14866734;15,71533298;13,75933266;14,4333334;732045000
2014-04-07 00.00.00;13,58533287;14,56333256;13,23999977;13,72066689;572721000
2014-04-14 00.00.00;13,20800018;13,89599991;12,28800011;13,84000015;517369500
2014-04-21 00.00.00;13,32333279;14,62199974;12,9333334;13,13866711;522756000
2014-04-28 00.00.00;14,06066704;14,26799965;12,69999981;13,33333302;401826000
2014-05-05 00.00.00;12,15066719;14,57733345;11,81466675;13,96533298;742722000
2014-05-12 00.00.00;12,77066708;12,89866734;11,99199963;12,25800037;450514500
2014-05-19 00.00.00;13,81999969;13,850667;12,66666698;12,71466732;384367500
2014-05-26 00.00.00;13,85133266;14,31999969;13,68400002;13,90133286;301647000
2014-06-02 00.00.00;13,87800026;14,0539999;13,35999966;13,82199955;286270500
2014-06-09 00.00.00;13,76133347;13,99933338;13,28333282;13,86333275;297538500
2014-06-16 00.00.00;15,30599976;15,70266724;13,75066662;13,7840004;707827500
2014-06-23 00.00.00;15,93733311;16,12533379;15,21466732;15,30066681;486375000
2014-06-30 00.00.00;15,28333282;16,29933357;14,9333334;15,97000027;335382000
2014-07-07 00.00.00;14,54199982;15,31866741;14,28466702;15,16666698;390172500
2014-07-14 00.00.00;14,66800022;15,25266743;14,23999977;14,66600037;388039500
2014-07-21 00.00.00;14,9046669;15,13133335;14,44799995;14,48333263;239521500
2014-07-28 00.00.00;15,55133343;15,83333302;14,73600006;14,94999981;517041000
2014-08-04 00.00.00;16,54199982;17,11266708;15,55133343;15,62533283;497499000
2014-08-11 00.00.00;17,46733284;17,70933342;16,97200012;17,03199959;441160500
2014-08-18 00.00.00;17,1186676;17,81733322;16,77466774;17,54999924;299413500
2014-08-25 00.00.00;17,97999954;18,13333321;17,21266747;17,21266747;306198000
2014-09-01 00.00.00;18,49266624;19,4279995;18,1673336;18,36666679;542044500
2014-09-08 00.00.00;18,61333275;19,03266716;18,24399948;18,50799942;313986000
2014-09-15 00.00.00;17,28800011;18,29333305;16,60866737;18,29133224;606550500
2014-09-22 00.00.00;16,44000053;17,06800079;16,31399918;17;393778500
2014-09-29 00.00.00;17,01399994;17,10000038;15,71000004;16,26666641;441558000
2014-10-06 00.00.00;15,79399967;17,70266724;15,68000031;17,2753334;562552500
2014-10-13 00.00.00;15,16533279;15,93066692;14,48799992;15,9046669;652050000
2014-10-20 00.00.00;15,68266678;15,85333347;15,0340004;15,11466694;280455000
2014-10-27 00.00.00;16,11333275;16,30666733;14,68733311;15,61666679;480537000
2014-11-03 00.00.00;16,01333237;16,50399971;15,23333263;16,20000076;561720000
2014-11-10 00.00.00;17,24533272;17,25666618;15,78666687;15,94066715;461008500
2014-11-17 00.00.00;16,18533325;17,3326664;16,14466667;17,16600037;412342500
2014-11-24 00.00.00;16,30133247;16,64800072;16,04266739;16,34666634;180756000
2014-12-01 00.00.00;14,91399956;16,16466713;14,81733322;16,07733345;445999500
2014-12-08 00.00.00;13,80000019;14,99066734;13,61800003;14,76933289;597591000
2014-12-15 00.00.00;14,61933327;14,69333267;12,84333324;13,95266724;531090000
2014-12-22 00.00.00;15,18799973;15,23333263;14,55066681;14,66666698;209464500
2014-12-29 00.00.00;14,62066746;15,19400024;14,21733284;15,12666702;191514000
2015-01-05 00.00.00;13,77733326;14,4333334;13,61400032;14,30333328;340644000
2015-01-12 00.00.00;12,87133312;13,84066677;12,33333302;13,53666687;461988000
2015-01-19 00.00.00;13,41933346;13,5666666;12,4693327;12,92466736;243175500
2015-01-26 00.00.00;13,57333279;13,90799999;13,10000038;13,45533276;235803000
2015-02-02 00.00.00;14,49066734;15,03199959;13,55333328;13,59799957;285714000
2015-02-09 00.00.00;13,58466721;14,69999981;12,88533306;14,35866737;607089000
2015-02-16 00.00.00;14,47399998;14,50666714;13,4333334;13,71333313;267441000
2015-02-23 00.00.00;13,55599976;14,5466671;13,44666672;14,37733269;440518500
2015-03-02 00.00.00;12,92533302;13,74600029;12,81000042;13,51333332;422487000
2015-03-09 00.00.00;12,57866669;13,07866669;12,48799992;12,95933342;403123500
2015-03-16 00.00.00;13,20533276;13,63933277;12,65333271;12,80000019;421327500
2015-03-23 00.00.00;12,33333302;13,58600044;12,09333324;13,23333263;371172000
2015-03-30 00.00.00;12,73333263;12,91733265;12,11999989;12,39000034;358816500
2015-04-06 00.00.00;14,06000042;14,10999966;13,16666698;13,19999981;464620500
2015-04-13 00.00.00;13,78600025;14,19999981;13,5666666;14,02933311;192984000
2015-04-20 00.00.00;14,56200027;14,79199982;13,59000015;13,78533268;310407000
2015-04-27 00.00.00;15,06866741;15,91666698;14,69400024;14,83733273;463315500
2015-05-04 00.00.00;15,77400017;15,96666718;14,6833334;15,21199989;444397500
2015-05-11 00.00.00;16,58933258;16,62666702;15,68733311;15,75266743;373491000
2015-05-18 00.00.00;16,51533318;16,73333359;16,09133339;16,46666718;224650500
2015-05-25 00.00.00;16,71999931;16,8579998;16,33666611;16,51199913;215152500
2015-06-01 00.00.00;16,60933304;16,7733326;16,37866783;16,7606678;178455000
2015-06-08 00.00.00;16,71266747;17,25;16,56666756;16,72333336;218235000
2015-06-15 00.00.00;17,50066757;17,62400055;16,40066719;16,64666748;223942500
2015-06-22 00.00.00;17,80599976;18,09399986;17,04599953;17,4766674;262977000
2015-06-29 00.00.00;18,66799927;18,82999992;17,37999916;17,46333313;237463500
