Date;Close-TSLA
2010-06-28 00.00.00;1,279999971
2010-07-05 00.00.00;1,159999967
2010-07-12 00.00.00;1,376000047
2010-07-19 00.00.00;1,419332981
2010-07-26 00.00.00;1,329332948
2010-08-02 00.00.00;1,305999994
2010-08-09 00.00.00;1,221333027
2010-08-16 00.00.00;1,273332953
2010-08-23 00.00.00;1,313333035
2010-08-30 00.00.00;1,403332949
2010-09-06 00.00.00;1,344666958
2010-09-13 00.00.00;1,348667026
2010-09-20 00.00.00;1,340000033
2010-09-27 00.00.00;1,373332977
2010-10-04 00.00.00;1,361999989
2010-10-11 00.00.00;1,369333029
2010-10-18 00.00.00;1,381332994
2010-10-25 00.00.00;1,45599997
2010-11-01 00.00.00;1,629333019
2010-11-08 00.00.00;1,989333034
2010-11-15 00.00.00;2,065999985
2010-11-22 00.00.00;2,354666948
2010-11-29 00.00.00;2,099333048
2010-12-06 00.00.00;2,101332903
2010-12-13 00.00.00;2,090667009
2010-12-20 00.00.00;2,006000042
2010-12-27 00.00.00;1,775333047
2011-01-03 00.00.00;1,882666945
2011-01-10 00.00.00;1,716667056
2011-01-17 00.00.00;1,536000013
2011-01-24 00.00.00;1,600667
2011-01-31 00.00.00;1,56400001
2011-02-07 00.00.00;1,549999952
2011-02-14 00.00.00;1,545333028
2011-02-21 00.00.00;1,574000001
2011-02-28 00.00.00;1,663333058
2011-03-07 00.00.00;1,604666948
2011-03-14 00.00.00;1,530666947
2011-03-21 00.00.00;1,516667008
2011-03-28 00.00.00;1,777333021
2011-04-04 00.00.00;1,766000032
2011-04-11 00.00.00;1,705332994
2011-04-18 00.00.00;1,782667041
2011-04-25 00.00.00;1,840000033
2011-05-02 00.00.00;1,807999969
2011-05-09 00.00.00;1,836666942
2011-05-16 00.00.00;1,864667058
2011-05-23 00.00.00;1,970000029
2011-05-30 00.00.00;2,008666992
2011-06-06 00.00.00;1,857332945
2011-06-13 00.00.00;1,766667008
2011-06-20 00.00.00;1,838000059
2011-06-27 00.00.00;1,934666991
2011-07-04 00.00.00;1,920667052
2011-07-11 00.00.00;1,838667035
2011-07-18 00.00.00;1,952666998
2011-07-25 00.00.00;1,878000021
2011-08-01 00.00.00;1,616000056
2011-08-08 00.00.00;1,753999949
2011-08-15 00.00.00;1,486667037
2011-08-22 00.00.00;1,582000017
2011-08-29 00.00.00;1,537999988
2011-09-05 00.00.00;1,53133297
2011-09-12 00.00.00;1,720000029
2011-09-19 00.00.00;1,758666992
2011-09-26 00.00.00;1,626000047
2011-10-03 00.00.00;1,799332976
2011-10-10 00.00.00;1,870000005
2011-10-17 00.00.00;1,868667006
2011-10-24 00.00.00;1,991333008
2011-10-31 00.00.00;2,154000044
2011-11-07 00.00.00;2,24266696
2011-11-14 00.00.00;2,17333293
2011-11-21 00.00.00;2,11066699
2011-11-28 00.00.00;2,220000029
2011-12-05 00.00.00;2,069333076
2011-12-12 00.00.00;1,866667032
2011-12-19 00.00.00;1,860000014
2011-12-26 00.00.00;1,904000044
2012-01-02 00.00.00;1,79400003
2012-01-09 00.00.00;1,519333005
2012-01-16 00.00.00;1,773332953
2012-01-23 00.00.00;1,955332994
2012-01-30 00.00.00;2,07666707
2012-02-06 00.00.00;2,073333025
2012-02-13 00.00.00;2,331332922
2012-02-20 00.00.00;2,25
2012-02-27 00.00.00;2,269332886
2012-03-05 00.00.00;2,315999985
2012-03-12 00.00.00;2,354666948
2012-03-19 00.00.00;2,272000074
2012-03-26 00.00.00;2,482666969
2012-04-02 00.00.00;2,298666954
2012-04-09 00.00.00;2,239332914
2012-04-16 00.00.00;2,210666895
2012-04-23 00.00.00;2,222666979
2012-04-30 00.00.00;2,121999979
2012-05-07 00.00.00;2,150000095
2012-05-14 00.00.00;1,837332964
2012-05-21 00.00.00;1,987333059
2012-05-28 00.00.00;1,876667023
2012-06-04 00.00.00;2,005332947
2012-06-11 00.00.00;1,993999958
2012-06-18 00.00.00;2,25266695
2012-06-25 00.00.00;2,085999966
2012-07-02 00.00.00;2,065999985
2012-07-09 00.00.00;2,283333063
2012-07-16 00.00.00;2,119333029
2012-07-23 00.00.00;1,967332959
2012-07-30 00.00.00;1,817999959
2012-08-06 00.00.00;1,996000051
2012-08-13 00.00.00;2,000667095
2012-08-20 00.00.00;1,966667056
2012-08-27 00.00.00;1,901332974
2012-09-03 00.00.00;1,956666946
2012-09-10 00.00.00;2,026000023
2012-09-17 00.00.00;2,001332998
2012-09-24 00.00.00;1,952000022
2012-10-01 00.00.00;1,925999999
2012-10-08 00.00.00;1,842666984
2012-10-15 00.00.00;1,849333048
2012-10-22 00.00.00;1,825332999
2012-10-29 00.00.00;1,927999973
2012-11-05 00.00.00;2,021332979
2012-11-12 00.00.00;2,122667074
2012-11-19 00.00.00;2,14199996
2012-11-26 00.00.00;2,254667044
2012-12-03 00.00.00;2,278000116
2012-12-10 00.00.00;2,253999949
2012-12-17 00.00.00;2,266666889
2012-12-24 00.00.00;2,214667082
2012-12-31 00.00.00;2,293333054
2013-01-07 00.00.00;2,194000006
2013-01-14 00.00.00;2,301332951
2013-01-21 00.00.00;2,465332985
2013-01-28 00.00.00;2,553333044
2013-02-04 00.00.00;2,615999937
2013-02-11 00.00.00;2,469332933
2013-02-18 00.00.00;2,407332897
2013-02-25 00.00.00;2,309999943
2013-03-04 00.00.00;2,564666986
2013-03-11 00.00.00;2,352667093
2013-03-18 00.00.00;2,441333055
2013-03-25 00.00.00;2,526000023
2013-04-01 00.00.00;2,757999897
2013-04-08 00.00.00;2,916666985
2013-04-15 00.00.00;3,188667059
2013-04-22 00.00.00;3,413332939
2013-04-29 00.00.00;3,636667013
2013-05-06 00.00.00;5,117332935
2013-05-13 00.00.00;6,099999905
2013-05-20 00.00.00;6,472000122
2013-05-27 00.00.00;6,517333031
2013-06-03 00.00.00;6,802667141
2013-06-10 00.00.00;6,686666965
2013-06-17 00.00.00;6,636666775
2013-06-24 00.00.00;7,157332897
2013-07-01 00.00.00;8,005999565
2013-07-08 00.00.00;8,659999847
2013-07-15 00.00.00;7,978666782
2013-07-22 00.00.00;8,626000404
2013-07-29 00.00.00;9,199999809
2013-08-05 00.00.00;10,19999981
2013-08-12 00.00.00;9,466667175
2013-08-19 00.00.00;10,78933334
2013-08-26 00.00.00;11,26666737
2013-09-02 00.00.00;11,13133335
2013-09-09 00.00.00;11,03600025
2013-09-16 00.00.00;12,22599983
2013-09-23 00.00.00;12,7266674
2013-09-30 00.00.00;12,06533337
2013-10-07 00.00.00;11,91333294
2013-10-14 00.00.00;12,2266674
2013-10-21 00.00.00;11,31066704
2013-10-28 00.00.00;10,8113327
2013-11-04 00.00.00;9,196666718
2013-11-11 00.00.00;9,029999733
2013-11-18 00.00.00;8,092000008
2013-11-25 00.00.00;8,485333443
2013-12-02 00.00.00;9,157333374
2013-12-09 00.00.00;9,843333244
2013-12-16 00.00.00;9,549332619
2013-12-23 00.00.00;10,07466698
2013-12-30 00.00.00;9,970666885
2014-01-06 00.00.00;9,71466732
2014-01-13 00.00.00;11,33399963
2014-01-20 00.00.00;11,64000034
2014-01-27 00.00.00;12,09399986
2014-02-03 00.00.00;12,43533325
2014-02-10 00.00.00;13,21533298
2014-02-17 00.00.00;13,97333336
2014-02-24 00.00.00;16,32066727
2014-03-03 00.00.00;16,41399956
2014-03-10 00.00.00;15,39799976
2014-03-17 00.00.00;15,25933266
2014-03-24 00.00.00;14,15799999
2014-03-31 00.00.00;14,14866734
2014-04-07 00.00.00;13,58533287
2014-04-14 00.00.00;13,20800018
2014-04-21 00.00.00;13,32333279
2014-04-28 00.00.00;14,06066704
2014-05-05 00.00.00;12,15066719
2014-05-12 00.00.00;12,77066708
2014-05-19 00.00.00;13,81999969
2014-05-26 00.00.00;13,85133266
2014-06-02 00.00.00;13,87800026
2014-06-09 00.00.00;13,76133347
2014-06-16 00.00.00;15,30599976
2014-06-23 00.00.00;15,93733311
2014-06-30 00.00.00;15,28333282
2014-07-07 00.00.00;14,54199982
2014-07-14 00.00.00;14,66800022
2014-07-21 00.00.00;14,9046669
2014-07-28 00.00.00;15,55133343
2014-08-04 00.00.00;16,54199982
2014-08-11 00.00.00;17,46733284
2014-08-18 00.00.00;17,1186676
2014-08-25 00.00.00;17,97999954
2014-09-01 00.00.00;18,49266624
2014-09-08 00.00.00;18,61333275
2014-09-15 00.00.00;17,28800011
2014-09-22 00.00.00;16,44000053
2014-09-29 00.00.00;17,01399994
2014-10-06 00.00.00;15,79399967
2014-10-13 00.00.00;15,16533279
2014-10-20 00.00.00;15,68266678
2014-10-27 00.00.00;16,11333275
2014-11-03 00.00.00;16,01333237
2014-11-10 00.00.00;17,24533272
2014-11-17 00.00.00;16,18533325
2014-11-24 00.00.00;16,30133247
2014-12-01 00.00.00;14,91399956
2014-12-08 00.00.00;13,80000019
2014-12-15 00.00.00;14,61933327
2014-12-22 00.00.00;15,18799973
2014-12-29 00.00.00;14,62066746
2015-01-05 00.00.00;13,77733326
2015-01-12 00.00.00;12,87133312
2015-01-19 00.00.00;13,41933346
2015-01-26 00.00.00;13,57333279
2015-02-02 00.00.00;14,49066734
2015-02-09 00.00.00;13,58466721
2015-02-16 00.00.00;14,47399998
2015-02-23 00.00.00;13,55599976
2015-03-02 00.00.00;12,92533302
2015-03-09 00.00.00;12,57866669
2015-03-16 00.00.00;13,20533276
2015-03-23 00.00.00;12,33333302
2015-03-30 00.00.00;12,73333263
2015-04-06 00.00.00;14,06000042
2015-04-13 00.00.00;13,78600025
2015-04-20 00.00.00;14,56200027
2015-04-27 00.00.00;15,06866741
2015-05-04 00.00.00;15,77400017
2015-05-11 00.00.00;16,58933258
2015-05-18 00.00.00;16,51533318
2015-05-25 00.00.00;16,71999931
2015-06-01 00.00.00;16,60933304
2015-06-08 00.00.00;16,71266747
2015-06-15 00.00.00;17,50066757
2015-06-22 00.00.00;17,80599976
2015-06-29 00.00.00;18,66799927
2015-07-06 00.00.00;17,27666664
2015-07-13 00.00.00;18,31066704
2015-07-20 00.00.00;17,69400024
2015-07-27 00.00.00;17,74333382
2015-08-03 00.00.00;16,1673336
2015-08-10 00.00.00;16,20999908
2015-08-17 00.00.00;15,3846674
2015-08-24 00.00.00;16,56533241
2015-08-31 00.00.00;16,12866783
2015-09-07 00.00.00;16,68266678
2015-09-14 00.00.00;17,37466621
2015-09-21 00.00.00;17,12733269
2015-09-28 00.00.00;16,50466728
2015-10-05 00.00.00;14,71266747
2015-10-12 00.00.00;15,13399982
2015-10-19 00.00.00;13,93933296
2015-10-26 00.00.00;13,79533291
2015-11-02 00.00.00;15,49066734
2015-11-09 00.00.00;13,81266689
2015-11-16 00.00.00;14,66733265
2015-11-23 00.00.00;15,44066715
2015-11-30 00.00.00;15,35866737
2015-12-07 00.00.00;14,46800041
2015-12-14 00.00.00;15,36400032
2015-12-21 00.00.00;15,37133312
2015-12-28 00.00.00;16,00066757
2016-01-04 00.00.00;14,0666666
2016-01-11 00.00.00;13,66600037
2016-01-18 00.00.00;13,50333309
2016-01-25 00.00.00;12,74666691
2016-02-01 00.00.00;10,84000015
2016-02-08 00.00.00;10,06933308
2016-02-15 00.00.00;11,10533333
2016-02-22 00.00.00;12,68933296
2016-02-29 00.00.00;13,40266705
2016-03-07 00.00.00;13,83333302
2016-03-14 00.00.00;15,51599979
2016-03-21 00.00.00;15,1833334
2016-03-28 00.00.00;15,83933258
2016-04-04 00.00.00;16,67133331
2016-04-11 00.00.00;16,96733284
2016-04-18 00.00.00;16,91666794
2016-04-25 00.00.00;16,05066681
2016-05-02 00.00.00;14,32866669
2016-05-09 00.00.00;13,84066677
2016-05-16 00.00.00;14,68533325
2016-05-23 00.00.00;14,86933327
2016-05-30 00.00.00;14,59933281
2016-06-06 00.00.00;14,58600044
2016-06-13 00.00.00;14,36466694
2016-06-20 00.00.00;12,87666702
2016-06-27 00.00.00;14,4333334
2016-07-04 00.00.00;14,45199966
2016-07-11 00.00.00;14,69333267
2016-07-18 00.00.00;14,81799984
2016-07-25 00.00.00;15,65266705
2016-08-01 00.00.00;15,33533287
2016-08-08 00.00.00;15,04066658
2016-08-15 00.00.00;15
2016-08-22 00.00.00;14,66600037
2016-08-29 00.00.00;13,18533325
2016-09-05 00.00.00;12,96466732
2016-09-12 00.00.00;13,69333267
2016-09-19 00.00.00;13,82999992
2016-09-26 00.00.00;13,60200024
2016-10-03 00.00.00;13,10733318
2016-10-10 00.00.00;13,100667
2016-10-17 00.00.00;13,33933258
2016-10-24 00.00.00;13,33133316
2016-10-31 00.00.00;12,70400047
2016-11-07 00.00.00;12,57066727
2016-11-14 00.00.00;12,33466721
2016-11-21 00.00.00;13,10999966
2016-11-28 00.00.00;12,09799957
2016-12-05 00.00.00;12,81200027
2016-12-12 00.00.00;13,49933338
2016-12-19 00.00.00;14,22266674
2016-12-26 00.00.00;14,24600029
2017-01-02 00.00.00;15,26733303
2017-01-09 00.00.00;15,85000038
2017-01-16 00.00.00;16,31533241
2017-01-23 00.00.00;16,86333275
2017-01-30 00.00.00;16,75533295
2017-02-06 00.00.00;17,94866753
2017-02-13 00.00.00;18,14866638
2017-02-20 00.00.00;17,13333321
2017-02-27 00.00.00;16,77133369
2017-03-06 00.00.00;16,24600029
2017-03-13 00.00.00;17,43333244
2017-03-20 00.00.00;17,54400063
2017-03-27 00.00.00;18,55333328
2017-04-03 00.00.00;20,1693325
2017-04-10 00.00.00;20,26666641
2017-04-17 00.00.00;20,37333298
2017-04-24 00.00.00;20,93799973
2017-05-01 00.00.00;20,55666733
2017-05-08 00.00.00;21,65399933
2017-05-15 00.00.00;20,72200012
2017-05-22 00.00.00;21,6760006
2017-05-29 00.00.00;22,65666771
2017-06-05 00.00.00;23,82133293
2017-06-12 00.00.00;24,76000023
2017-06-19 00.00.00;25,56333351
2017-06-26 00.00.00;24,10733223
2017-07-03 00.00.00;20,8813324
2017-07-10 00.00.00;21,85199928
2017-07-17 00.00.00;21,89333344
2017-07-24 00.00.00;22,33799934
2017-07-31 00.00.00;23,79400063
2017-08-07 00.00.00;23,8579998
2017-08-14 00.00.00;23,16399956
2017-08-21 00.00.00;23,2033329
2017-08-28 00.00.00;23,69333267
2017-09-04 00.00.00;22,89333344
2017-09-11 00.00.00;25,32066727
2017-09-18 00.00.00;23,40600014
2017-09-25 00.00.00;22,73999977
2017-10-02 00.00.00;23,79199982
2017-10-09 00.00.00;23,70466614
2017-10-16 00.00.00;23,00666618
2017-10-23 00.00.00;21,39133263
2017-10-30 00.00.00;20,40600014
2017-11-06 00.00.00;20,19933319
2017-11-13 00.00.00;21,00333214
2017-11-20 00.00.00;21,03666687
2017-11-27 00.00.00;20,43533325
2017-12-04 00.00.00;21,00866699
2017-12-11 00.00.00;22,89666748
2017-12-18 00.00.00;21,68000031
2017-12-25 00.00.00;20,75666618
2018-01-01 00.00.00;21,10533333
2018-01-08 00.00.00;22,41466713
2018-01-15 00.00.00;23,33466721
